sample_id,prediction
1/1,0.25960010290145874
1/2,0.39442703127861023
1/6,0.24240508675575256
1/7,0.0815105140209198
1/8,0.060669779777526855
2/2,0.08578231185674667
2/3,0.7849323153495789
2/4,0.3450584411621094
2/5,0.08249188959598541
2/9,0.10813881456851959
3/1,0.06877397000789642
3/2,0.09629155695438385
3/6,0.6412270665168762
3/7,0.14290153980255127
3/8,0.6590458154678345
4/3,0.8247987627983093
4/4,0.2426602840423584
4/5,0.10837416350841522
4/6,0.9971240162849426
4/8,0.08420833200216293
5/1,0.11479343473911285
5/3,0.2414005547761917
5/6,0.9983927011489868
5/8,0.33341145515441895
5/9,0.9972406625747681
6/1,0.6042599678039551
6/4,0.1905345767736435
6/5,0.31492218375205994
6/7,0.08883217722177505
6/8,0.12020900100469589
7/0,0.13347579538822174
7/1,0.18298034369945526
7/3,0.9995378255844116
7/7,0.9899843335151672
7/9,0.11285130679607391
8/3,0.9891959428787231
8/4,0.5116329193115234
8/5,0.8589473962783813
8/6,0.9997169375419617
8/9,0.09119736403226852
9/2,0.9913328289985657
9/3,0.9830190539360046
9/6,0.78517746925354
9/8,0.7574963569641113
9/9,0.1277613639831543
10/1,0.2589017152786255
10/2,0.5813691020011902
10/6,0.07821886986494064
10/7,0.4534587860107422
10/9,0.9857478141784668
11/1,0.48699960112571716
11/4,0.3110113739967346
11/5,0.7188200354576111
11/7,0.27461951971054077
11/8,0.5216760039329529
12/1,0.24376507103443146
12/3,0.8832597732543945
12/4,0.08259819447994232
12/7,0.1197734847664833
12/9,0.21762490272521973
13/3,0.33363088965415955
13/5,0.8705906867980957
13/7,0.07785876095294952
13/8,0.2569688558578491
13/9,0.07309414446353912
14/2,0.050052840262651443
14/4,0.17726285755634308
14/5,0.1440541297197342
14/6,0.657230019569397
14/8,0.2385183870792389
15/1,0.17674635350704193
15/5,0.19349125027656555
15/6,0.09211905300617218
15/7,0.08816775679588318
15/8,0.10400756448507309
16/1,0.12348683923482895
16/2,0.08584479242563248
16/3,0.15840494632720947
16/8,0.08919267356395721
16/9,0.05055520683526993
17/4,0.07139640301465988
17/5,0.06373177468776703
17/6,0.187392920255661
17/7,0.1533629149198532
17/8,0.8951584100723267
18/0,0.08205022662878036
18/1,0.057833313941955566
18/3,0.11362795531749725
18/6,0.08826351165771484
18/9,0.0812138244509697
19/0,0.2942880392074585
19/1,0.1531776636838913
19/2,0.9919568300247192
19/3,0.38412484526634216
19/4,0.9187816381454468
19/6,0.9984657168388367
19/7,0.9996763467788696
19/8,0.09251101315021515
19/9,0.9983876943588257
20/0,0.11865875869989395
20/2,0.17961065471172333
20/5,0.08124419301748276
20/6,0.07291170209646225
20/8,0.9067277908325195
21/1,0.17216943204402924
21/3,0.11163536459207535
21/5,0.0857870876789093
21/6,0.9993117451667786
21/8,0.29650670289993286
22/1,0.3505038022994995
22/2,0.12110652774572372
22/4,0.09026289731264114
22/8,0.8689716458320618
22/9,0.06419350206851959
23/0,0.17800280451774597
23/1,0.4648410677909851
23/5,0.9393272399902344
23/6,0.49618083238601685
23/8,0.07787847518920898
24/0,0.13958857953548431
24/4,0.09801789373159409
24/5,0.48497357964515686
24/7,0.16291195154190063
24/9,0.7149072289466858
25/0,0.15794357657432556
25/1,0.09451980888843536
25/3,0.13750305771827698
25/6,0.08278912305831909
25/9,0.38805466890335083
26/0,0.06367380172014236
26/1,0.3800085783004761
26/7,0.7138067483901978
26/8,0.7843600511550903
26/9,0.11829991638660431
27/0,0.9992778897285461
27/2,0.17719827592372894
27/6,0.06411082297563553
27/7,0.08594892919063568
27/9,0.13280394673347473
28/0,0.9417060613632202
28/3,0.5066819190979004
28/4,0.9538006782531738
28/7,0.06624843925237656
28/9,0.09341190755367279
29/0,0.9668183326721191
29/1,0.9933047294616699
29/2,0.9890505075454712
29/5,0.10558553040027618
29/9,0.07490961998701096
30/1,0.9952190518379211
30/2,0.9971785545349121
30/3,0.8374088406562805
30/4,0.9866155385971069
30/8,0.9996358752250671
31/0,0.9985615611076355
31/1,0.09903264045715332
31/2,0.09391271322965622
31/3,0.728338360786438
31/4,0.9964429140090942
31/5,0.9839836955070496
31/6,0.948442816734314
31/8,0.12246087938547134
31/9,0.9612126350402832
32/0,0.9932451248168945
32/5,0.13501998782157898
32/6,0.9898055791854858
32/8,0.9954339265823364
32/9,0.9660550951957703
33/2,0.19162791967391968
33/5,0.9986274838447571
33/6,0.9353470802307129
33/8,0.10511364042758942
33/9,0.9946869611740112
34/0,0.994994044303894
34/2,0.9964337348937988
34/3,0.9994239807128906
34/4,0.3363756537437439
34/5,0.2971791625022888
35/4,0.8827944993972778
35/5,0.1883876621723175
35/7,0.1266661286354065
35/8,0.2349247932434082
35/9,0.09023790061473846
36/2,0.27057498693466187
36/3,0.1650804877281189
36/4,0.21667185425758362
36/5,0.09240076690912247
36/9,0.3554147779941559
37/1,0.07961844652891159
37/2,0.23416534066200256
37/5,0.06649430841207504
37/7,0.9716327786445618
37/8,0.8806771039962769
38/1,0.08651836961507797
38/4,0.8292520642280579
38/5,0.09248180687427521
38/6,0.4321550726890564
38/7,0.9869695901870728
39/0,0.06749077886343002
39/2,0.24135661125183105
39/4,0.2462289035320282
39/6,0.9996547698974609
39/9,0.1291429102420807
40/0,0.677696168422699
40/1,0.9144927859306335
40/3,0.0581354983150959
40/6,0.9874650835990906
40/7,0.3551810383796692
41/1,0.9898079633712769
41/2,0.14044642448425293
41/5,0.9964922070503235
41/7,0.09958653151988983
41/8,0.09913010150194168
42/1,0.9898396730422974
42/3,0.07224030792713165
42/4,0.06283218413591385
42/5,0.6485292315483093
42/9,0.08663160353899002
43/0,0.11605370044708252
43/1,0.20422974228858948
43/3,0.2158462107181549
43/4,0.40451687574386597
43/5,0.0868721604347229
44/0,0.9969425201416016
44/3,0.13264299929141998
44/4,0.06113126873970032
44/5,0.1692664921283722
44/7,0.19339150190353394
45/0,0.2039886713027954
45/1,0.07421930879354477
45/5,0.9895615577697754
45/6,0.6057060956954956
45/7,0.23967726528644562
46/0,0.25478842854499817
46/2,0.11760059744119644
46/5,0.9229799509048462
46/6,0.18521997332572937
46/8,0.21323971450328827
47/0,0.5071849226951599
47/1,0.9744815826416016
47/7,0.5665396451950073
47/8,0.3688291609287262
47/9,0.4143705368041992
48/0,0.8675686120986938
48/3,0.15230216085910797
48/4,0.846447765827179
48/5,0.7877117991447449
48/8,0.9459303021430969
49/1,0.18983304500579834
49/2,0.5194892883300781
49/5,0.5966122150421143
49/7,0.1965392529964447
49/8,0.939383864402771
50/2,0.3907485008239746
50/3,0.20840200781822205
50/5,0.5898799896240234
50/6,0.9341058731079102
50/8,0.355642706155777
51/4,0.9494321942329407
51/5,0.5270426273345947
51/6,0.4005250036716461
51/8,0.24206514656543732
51/9,0.9408855438232422
52/0,0.11699625104665756
52/1,0.13657350838184357
52/2,0.08989660441875458
52/4,0.30358994007110596
52/5,0.22081942856311798
53/0,0.5467613339424133
53/2,0.6669409871101379
53/5,0.08277247846126556
53/6,0.7240103483200073
53/9,0.3472084105014801
54/0,0.24324071407318115
54/1,0.6476702690124512
54/4,0.36141377687454224
54/5,0.889989972114563
54/9,0.23566725850105286
55/1,0.9781599044799805
55/3,0.16890129446983337
55/5,0.1687638759613037
55/6,0.17709609866142273
55/8,0.9580411911010742
56/0,0.9303897023200989
56/1,0.5810993909835815
56/2,0.24132008850574493
56/7,0.061054717749357224
56/9,0.36812227964401245
57/0,0.9397482872009277
57/1,0.2988553047180176
57/4,0.2374933511018753
57/6,0.25760409235954285
57/9,0.9663032293319702
58/0,0.8153681755065918
58/1,0.10173783451318741
58/4,0.7886287569999695
58/6,0.8092888593673706
58/8,0.15581223368644714
59/0,0.8646295666694641
59/2,0.14574752748012543
59/6,0.2623266577720642
59/8,0.22182722389698029
59/9,0.2066844403743744
60/4,0.07500430196523666
60/5,0.08425989747047424
60/7,0.352515310049057
60/8,0.8698822259902954
60/9,0.9676772952079773
61/1,0.12874320149421692
61/4,0.1569470763206482
61/5,0.35189610719680786
61/7,0.18462052941322327
61/8,0.2581770718097687
62/0,0.21029679477214813
62/3,0.17970862984657288
62/5,0.20302684605121613
62/6,0.15162543952465057
62/7,0.1575431525707245
63/0,0.2222939431667328
63/1,0.1930360347032547
63/2,0.14064165949821472
63/3,0.3041791617870331
63/4,0.1785886138677597
64/0,0.18310514092445374
64/1,0.13473854959011078
64/7,0.21846428513526917
64/8,0.29475465416908264
64/9,0.22324161231517792
65/0,0.26064154505729675
65/2,0.20537737011909485
65/3,0.17766422033309937
65/8,0.21219511330127716
