sample_id,prediction
1/1,0.6220773957885328
1/2,0.19860870552961118
1/6,0.2753571279029464
1/7,0.9335150893064763
1/8,0.6775118378847942
2/2,0.42717379114091325
2/3,0.46413578271092015
2/4,0.7274932993351917
2/5,0.9881036253202937
2/9,0.7458687541569637
3/1,0.5769716423041564
3/2,0.8143297404425203
3/6,0.36707550672124645
3/7,0.05335952444640679
3/8,0.08576257193533354
4/3,0.8998787785684154
4/4,0.8880390908620751
4/5,0.6512849050946965
4/6,0.04318090587232315
4/8,0.1999680409407817
5/1,0.10540524896559955
5/3,0.5731928814265825
5/6,0.5723600385927952
5/8,0.13655456378821773
5/9,0.6426209574636462
6/1,0.14710052044320743
6/4,0.8874557519097022
6/5,0.24729837851537684
6/7,0.5349352726194767
6/8,0.6032091601562727
7/0,0.8724194048205343
7/1,0.6896909164291573
7/3,0.08776710307617508
7/7,0.4749824708216739
7/9,0.5235180270259688
8/3,0.35537651856999
8/4,0.5280186530127838
8/5,0.685953037475942
8/6,0.16910645971679805
8/9,0.9326465685912795
9/2,0.6391994871430892
9/3,0.8806462582459585
9/6,0.9788777926723464
9/8,0.4983352557750965
9/9,0.2982455961357713
10/1,0.2750926609099399
10/2,0.051583993505946335
10/6,0.3109045462895902
10/7,0.8106102082253513
10/9,0.3857934958812148
11/1,0.45524787449160287
11/4,0.6546907987988104
11/5,0.4220343538503466
11/7,0.41771701336662226
11/8,0.44929018319889513
12/1,0.7935865173714066
12/3,0.6079215023709692
12/4,0.1776379062580652
12/7,0.1866257687675379
12/9,0.017561497093675382
13/3,0.7760431340715755
13/5,0.5444957733030535
13/7,0.10327541332747037
13/8,0.5111463846466656
13/9,0.5838964464006071
14/2,0.9674049703315072
14/4,0.12863529057957201
14/5,0.446540924920962
14/6,0.7720157302029897
14/8,0.24768176447876222
15/1,0.6329634269507886
15/5,0.01376096446391828
15/6,0.9621929322534176
15/7,0.9666004704407309
15/8,0.9014410732293043
16/1,0.41161640652909204
16/2,0.9999508762869391
16/3,0.09879808975983151
16/8,0.7893512526315664
16/9,0.5163922743818772
17/4,0.5418871009284221
17/5,0.5212034785560443
17/6,0.8201423776154999
17/7,0.19683835242724645
17/8,0.32873355958822326
18/0,0.7209812237111064
18/1,0.5970480418062629
18/3,0.5821676553591747
18/6,0.3460723240417467
18/9,0.41390234880562116
19/0,0.3923643423325581
19/1,0.9326487671507725
19/2,0.32532757974329185
19/3,0.8077636782525985
19/4,0.390365342499824
19/6,0.36010809132836086
19/7,0.2513784702943268
19/8,0.18261884175108167
19/9,0.36861259749347275
20/0,0.4560402092039243
20/2,0.5028645271165636
20/5,0.0516570197967432
20/6,0.9527153782995291
20/8,0.21468018898380026
21/1,0.8350208194925834
21/3,0.4509515082443595
21/5,0.830513702461256
21/6,0.5487572340653121
21/8,0.8062702718904268
22/1,0.3319682386162698
22/2,0.05687089196954764
22/4,0.46139268990418325
22/8,0.844996111159074
22/9,0.8733050616388462
23/0,0.890484528088835
23/1,0.10938882454894316
23/5,0.3247168864164527
23/6,0.41606843840077323
23/8,0.4735099283330344
24/0,0.20591573367353988
24/4,0.28426859311933184
24/5,0.621026512588535
24/7,0.6590697300638042
24/9,0.6868849444276017
25/0,0.8099433069973541
25/1,0.2914048740434505
25/3,0.1935371910460092
25/6,0.5676892257168976
25/9,0.6295461093329068
26/0,0.0101127261123658
26/1,0.43981493464488963
26/7,0.8261537067654853
26/8,0.34667889818493813
26/9,0.5953344807963714
27/0,0.875125805503862
27/2,0.12648982861325608
27/6,0.3791237416551516
27/7,0.9654591956627766
27/9,0.8697119060297764
28/0,0.4134559223574902
28/3,0.7632254437365722
28/4,0.9556719328336298
28/7,0.2616635515699043
28/9,0.810659370338432
29/0,0.7234636450835537
29/1,0.6755052870428577
29/2,0.6327997701502263
29/5,0.0840901230016875
29/9,0.6625780777724745
30/1,0.19463838781637943
30/2,0.6077048181594333
30/3,0.16243061100408385
30/4,0.840072695721083
30/8,0.6128678942401251
31/0,0.5275243383817795
31/1,0.11084019228015607
31/2,0.9029763469485121
31/3,0.5552413772588436
31/4,0.044306105222515546
31/5,0.14325572333595216
31/6,0.22954622254145596
31/8,0.9932473994776196
31/9,0.4800102733283377
32/0,0.6777715873323918
32/5,0.17967847063344644
32/6,0.4871871483478294
32/8,0.8219006663354235
32/9,0.5597424734359704
33/2,0.7765638722153
33/5,0.6446124591533151
33/6,0.267837182774591
33/8,0.2746292270185309
33/9,0.870118950711866
34/0,0.16873642146033208
34/2,0.6888020781354683
34/3,0.7442558662575856
34/4,0.286440951623923
34/5,0.5340880559435895
